Organization Code,Organization Name,Audience Provider ID
182_3036,"Holy Redeemer High School",4	
182_1876,"Holy Rosary/Duryea",4	
182_3840,"Hope Enterprises",4	
182_3584,"Horizon Federal Credit Union",4	
182_2640,"Howard Gardner School",4	
182_3772,"Human Resources Center",4	
182_1156,"Humpty Dumpty Kollege",4	
182_2944,"I T T Technical Institute",4	
182_1160,"I'm Big Now Learning Center",4	
182_1896,"Immanuel Christian School",4	
182_1164,"Infant Care Program at Covenant",4	
182_3512,"Itsy Bitsy Bookworms",4	
182_3752,"J P Mascaro & Sons",4	
182_1172,"Jenny Lynn Academy",4	
182_3880,"Jenny Lynn Elementary",4	
182_1900,"Jersey Shore Area School District",4	
182_2824,"Jewish Community Ctr Preschool/W-B",4	
182_1904,"Jim Thorpe Area School District",4	
182_1908,"Johnson College",4	
182_1176,"Karing for Kids",4	
182_3788,"KCR-Bridge Street",4	
182_3792,"KCR-Mundy Street",4	
182_3460,"Keystone Adult Daycare",4	
182_1916,"Keystone Central School District",4	
182_1920,"Keystone College/La Plume",4	
182_3448,"Keystone College/Towanda",4	
182_2804,"Kiddie Campus",4	
182_1180,"Kiddie Kapers Nursery School",4	
182_3708,"Kids Country Daycare",4	
182_3768,"Kinder Kampus Preparatory Preschool",4	
182_3408,"KinderCare Learning Center",4	
182_1928,"King's College",4	
182_3328,"Kings College Early LC",4	
182_1188,"Kings/St Marys Child Care",4	
182_3268,"Kingston Baseball & Softball",4	
182_1388,"Kreig Institute for Early Childhood Education",4	
182_1940,"Kutztown University",4	
182_3396,"Lacies Little Ones",4	
182_3068,"Lackawanna College / PNG",4	
182_1944,"Lackawanna College/Hazleton",4	
182_1948,"Lackawanna College/Lake Region",4	
182_1952,"Lackawanna College/Scranton",4	
182_1956,"Lackawanna College/Towanda",4	
182_1192,"Lackawanna County Admin Bldg",4	
182_1196,"Lackawanna County Courthouse",4	
182_1960,"Lackawanna Trail School District",4	
182_3580,"Lake Run Learning Center",4	
182_1964,"Lake-Lehman School District",4	
182_1968,"Lakeland School District",4	
182_1972,"LaSalle Academy",4	
182_1204,"Learning Station",4	
182_1976,"Lehigh Career and Tech Institute",4	
182_1980,"Lehighton Area School District",4	
182_3324,"LeTip of Stroudsburg",4	
182_1984,"Lewisburg Area School District",4	
182_3864,"Life Geisinger / Kulpmont",4	
182_2968,"LIFE Geisinger Adult Day Care/Scranton",4	
182_3744,"Lil Sailors Daycare",4	
182_3884,"Lil' Treehouse",4	
182_1988,"Line Mountain School District",4	
182_3756,"Lion Brewery",4	
