Organization Code,Organization Name,Audience Provider ID
183_7607,"Chenal Adult Day Services",4
183_2260,"Chenal Valley Montessori",4
183_8327,"Child & Youth Pediatric Clinic-Batesville",4
183_2994,"Children's House Montessori",4
183_5098,"Christ Lutheran School",4
183_7651,"Christian Ministries Academy",4
183_8179,"Civitan Services",4
183_4890,"Clara Muhammad School",4
183_1296,"Clarendon School District",4
183_3030,"Clark County Christian",4
183_1300,"Clarksville School District",4
183_1304,"Clay Co. School District",4
183_7771,"Clearview Christian-Heber Springs",4
183_7763,"Cleburne County Christian",4
183_1308,"Cleveland Co. School District",4
183_1312,"Clinton Public Schools",4
183_7394,"Clinton School of Public Service",4
183_2088,"College of the Ouachitas",4
183_3034,"Columbia Christian",4
183_7775,"Community Christian-Russellville",4
183_1320,"Community School-Heber Springs",4
183_1324,"Concord School District",4
183_9043,"Conway Adult Education Ctr.",4
183_7507,"Conway Apprenticeship",4
183_1328,"Conway Christian School",4
183_3046,"Conway Montessori",4
183_1332,"Conway School District",4
183_8003,"Cornerstone Christian Academy-Searcy",4
183_3050,"Cornerstone Christian Academy-Tillar",4
183_1336,"Corning School District",4
183_1340,"Cossatot Community College",4
183_2522,"Cossatot River School District",4
183_1344,"Cotter School District",4
183_1348,"County Line School District",4
183_7767,"Covenant Christian Academy",4
183_7967,"Covenant Keepers Charter",4
183_4458,"Crittenden Pentecostal Academy",4
183_1352,"Cross County School District",4
183_1356,"Crossett School District",4
183_10071,"CrossRoads (CALC) - Atkins",4
183_10067,"CrossRoads (CALC) - Quitman",4
183_8427,"Crossroads Alternative Learning",4
183_1360,"Crowley's Ridge Academy",4
183_1368,"Crowley's Ridge College",4
183_1372,"Crowley's Ridge Technical Institute",4
183_7551,"CSO Head Start-Hot Springs",4
183_8267,"CSO Head Start-Lake Hamilton",4
183_8263,"CSO Head Start-Mtn. Pine",4
183_8271,"CSO Head Start-North Garland Co.",4
183_1380,"Cutter Morning Star School District",4
183_1384,"Danville School District",4
183_1388,"Dardanelle School District",4
183_5046,"Dawson Education Coop",4
183_3090,"Dayspring Christian Academy",4
183_1392,"De Queen School District",4
183_3094,"De Soto School",4
183_1396,"Decatur School District",4
183_1400,"Deer-Mt. Judea School District",4
183_7066,"Delight Head Start",4
183_1408,"Dept. of Correction School",4
183_1412,"Dermott School District",4
183_1416,"Des Arc School District",4
183_1424,"DeWitt School District",4
183_8023,"DHS IOP",4
183_1428,"Dierks School District",4
183_9067,"Diesel Driving Academy",4
183_1432,"Dollarway School District",4
183_1436,"Dover School District",4
183_7687,"Dreamland Academy",4
183_1440,"Drew Central School District",4
183_1444,"Dumas School District",4
183_7971,"E-Stem Charter",4
183_1448,"Earle School District",4
183_4870,"East Arkansas Christian School",4
183_1456,"East Arkansas Community College",4
183_4338,"East End School District",4
183_1460,"East Poinsett Co. School District",4
183_1464,"Eastern College of Health Vocations",4
183_4434,"Eastside Baptist Academy",4
183_1468,"El Dorado School District",4
183_1480,"Emerson-Taylor School District",4
